"encargo_fiduciario_id";"documento_id";"valor_debito"
980646;232404;429683.0
980647;233027;429683.0
980648;233341;429683.0
980649;233915;429683.0
980650;235103;429683.0
980651;235850;429683.0
980652;236412;429683.0
980653;236980;429683.0
980654;237069;429683.0
980655;237981;429683.0
980656;230727;195311.0
980657;231674;195311.0
980658;230728;218111.0
980659;231643;218111.0
980660;232244;218111.0
980661;232843;218111.0
980662;233699;218111.0
980663;234886;218111.0
980664;235597;218111.0
980665;236672;218111.0
980666;237076;218111.0
980667;237817;218111.0
980668;230729;230641.0
980669;231675;230641.0
980670;237057;230641.0
980671;237836;230641.0
980672;230730;390927.0
980673;231384;390927.0
980674;231873;390927.0
980675;233307;390927.0
980676;233890;390927.0
980677;237266;390927.0
980678;237537;390927.0
980679;237905;390927.0
980680;230731;209021.0
980681;231644;209021.0
980682;232245;209021.0
980683;233819;209021.0
980684;237125;209021.0
980685;237819;209021.0
980686;230732;429683.0
980687;231385;429683.0
980688;231875;429683.0
980689;232314;429683.0
980690;233202;429683.0
980691;233294;429683.0
980692;233880;429683.0
980693;235114;429683.0
980694;235797;429683.0
980695;236424;429683.0
980696;237623;429683.0
980697;238019;429683.0
980698;230733;281270.0
980699;231563;281270.0
980700;232104;281270.0
980701;232332;281270.0
980702;232810;281270.0
980703;233459;281270.0
980704;234177;281270.0
980705;235494;281270.0
980706;236036;281270.0
980707;236446;281270.0
980708;237649;281270.0
980709;230734;195311.0
980710;231645;195311.0
980711;232651;195311.0
980712;232735;195311.0
980713;233677;195311.0
980714;234902;195311.0
980715;235544;195311.0
980716;236675;195311.0
980717;230735;415379.0
980718;231505;415379.0
980719;232066;415379.0
980720;232315;415379.0
980721;237273;415379.0
980722;237540;415379.0
980723;237928;415379.0
980724;230736;325189.0
980725;237156;325189.0
980726;230737;429683.0
980727;231386;429683.0
980728;231878;429683.0
980729;232386;429683.0
980730;237613;429683.0
980731;237936;429683.0
980732;230738;304124.0
980733;231387;304124.0
980734;232005;304124.0
980735;232356;304124.0
980736;232824;304124.0
980737;233466;304124.0
980738;237259;304124.0
980739;237531;304124.0
980740;237918;304124.0
980741;230739;281270.0
980742;231555;281270.0
980743;232105;281270.0
980744;232431;281270.0
980745;232867;281270.0
980746;233479;281270.0
980747;234205;281270.0
980748;235493;281270.0
980749;236034;281270.0
980750;237641;281270.0
980751;230740;282921.0
980752;231573;282921.0
980753;232193;282921.0
980754;232643;282921.0
980755;232731;282921.0
980756;233772;282921.0
980757;235492;282921.0
980758;236415;282921.0
980759;236784;282921.0
980760;237139;282921.0
980761;237820;282921.0
980762;230741;195311.0
980763;231391;195311.0
980764;231884;195311.0
980765;232363;195311.0
980766;233004;195311.0
980767;233546;195311.0
980768;233899;195311.0
980769;235124;195311.0
980770;230742;429683.0
980771;231455;429683.0
980772;232351;429683.0
980773;232992;429683.0
980774;233542;429683.0
980775;234016;429683.0
980776;237262;429683.0
980777;237533;429683.0
980778;230743;296547.0
980779;231559;296547.0
980780;237645;296547.0
980781;230744;222361.0
980782;231648;222361.0
980783;232246;222361.0
980784;232839;222361.0
980785;233696;222361.0
980786;237083;222361.0
980787;237821;222361.0
980788;230745;219011.0
980789;231676;219011.0
980790;232269;219011.0
980791;232706;219011.0
980792;233826;219011.0
980793;235451;219011.0
980794;235664;219011.0
980795;236663;219011.0
980796;237089;219011.0
980797;237837;219011.0
980798;230746;429683.0
980799;231394;429683.0
980800;231889;429683.0
980801;232370;429683.0
980802;233215;429683.0
980803;233470;429683.0
980804;234022;429683.0
980805;235131;429683.0
980806;235931;429683.0
980807;237252;429683.0
980808;237525;429683.0
980809;237919;429683.0
980810;230747;429683.0
980811;231396;429683.0
980812;231891;429683.0
980813;232329;429683.0
980814;233206;429683.0
980815;233303;429683.0
980816;233838;429683.0
980817;235301;429683.0
980818;236022;429683.0
980819;237268;429683.0
980820;237621;429683.0
980821;238021;429683.0
980822;230748;429683.0
980823;231398;429683.0
980824;231894;429683.0
