ID;NOMBRE
140;UNIVERSIDAD AUTÓNOMA LATINOAMERICANA - UNAULA
141;INSTITUTO DE CIENCIAS APLICADAS - INDECAP
142;ESCUELA VIAL DE CONDUCCIÓN
143;CENTRO COLOMBO AMERICANO DE MEDELLÍN
144;TRAMITAR CONDUCCIÓN
145;CONDUPRIMOS
146;ESCUELA NACIONAL DE CONDUCCIÓN
147;ESCUELA INTERNACIONAL DE CONDUCCIÓN JORGE IVÁN QUINTERO O
148;ABICE SEGURIDAD VÍAL CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA
149;JAVIERAUTOS
150;FUNDACIÓN CENTRO HUMANÍSTICO MICAEL
151;CENTRO DE ESTUDIOS EMPRESARIALES COOMULSAP - CEMCO
152;ESCUELA DE DISEÑO TÉCNICO ESDITEC
153;CORPORACIÓN FORMAMOS
154;CENTRO DE IDIOMAS FUN_N_LEARN
155;CONDUVIAL
156;"FUNDACIÓN EDUCATIVA CENSA ""JUAN SEBASTIÁN GUTIERREZ BUSTAMANTE"""
157;ACADEMIA STILOS
158;INSTITUCIÓN UNIVERSITARIA SALAZAR Y HERRERA
159;ACADEMIA ANTIOQUEÑA DE LABORATORIO DENTAL
160;CORPORACIÓN ACADEMIA SUPERIOR DE ARTES
161;ESCUELA PRÁCTICA DE TELEVISIÓN EFRAÍN ARCE ARAGÓN
162;INSTITUTO MINISTERIAL DE MEDELLÍN
163;ESCUELA ANDINA DE AUTOMOVILISMO
164;INSTITUTO DE EDUCACIÓN FORMAL Y DE EDUCACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO COMPUESTUDIO
165;ACADÉMIA DE CONDUCCIÓN AUTO MASTER
166;CONDUCAR
167;"INSTITUTO DE EDUCACIÓN COMFENALCO ""CONSUELO MONTOYA GIL"""
168;INSTITUCIÓN EDUCATIVA ECOSESA
169;PRACTICAR
170;ESCUELA NACIONAL DE CRIMINALÍSTICA Y CIENCIAS FORENSES
171;COMPUEDU
172;CENTRO DE ALTOS ESTUDIOS DEL POBLADO
173;POLITÉCNICO COHAN - CIENCIAS DE LA SALUD
174;COLEGIO MAYOR DE ANTIOQUIA
175;CENTRO DE FORMACIÓN TÉCNICA GENTE UNIDA
176;INSTITUTO EDUCATIVO PENCA DE SABILA
177;TRAMITAR CONDUCCIÓN (ETDH)
178;BRAZADA
179;CENTRO DE EDUCACIÓN EN SALUD CEDES - MEDELLÍN
180;ACADEMIA DE ARTES Y OFICIOS - THE ACADEMY
181;FUNDACIÓN AVANCEMOS SERVICIOS INTEGRALES
182;BILINGÜES TRAINING CENTER MEDELLÍN
183;HRT INSTITUCIÓN EDUCATIVA MUSICAL
184;ALIANZA CULTURAL COLOMBO FRANCESA DE MEDELLÍN - AFM
185;ACADEMIA DE ESTUDIOS ADMINISTRATIVOS Y TÉCNICOS
186;ESCUELA DE IDIOMAS HEADWAY
187;POLITÉCNICO CENTRO DE INVESTIGACIÓN Y CAPACITACIÓN ODONTOLÓGICA - CIANDCO
188;ACADEMIA YURUPARY
189;CENTRO EDUCATIVO LA ARCADIA
190;AUTO LIDER ESCUELA DE CONDUCCIÓN
191;CENTRO DE EDUCACIÓN NO FORMAL PORFIRIO BARBA JACOB
192;POLITÉCNICO DE COLOMBIA
193;INSTITUTO INTERFORENSES
194;ACADEMIA DE AUTOMOVILISMO EL POBLADO
195;GRUPO FORMARTE
196;POLITÉCNICO NACIONAL DE FORMACIÓN EMPRESARIAL - NAFOEM
197;ITELME INSTITUTO TÉCNICO LABORAL DE MEDELLÍN
198;ACADEMIA ANTIOQUEÑA DE AVIACIÓN
199;INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO
200;CONDUARTE
201;CONDUZCAMOS INSTITUTO DE EDUCACIÓN NO FORMAL
202;ZULUAUTO
